Neighbourhood,Home Prices,Latitude,Longitude
West Humber-Clairville,317508,43.7689144,-79.1872905
Westminster-Branson,372380,43.7689144,-79.1872905
Weston,280187,43.7001608,-79.5162474
Weston-Pellam Park,382119,43.7001608,-79.5162474
Wexford/Maryvale,422689,43.7489214,-79.3152643
Willowdale East,540911,43.7698142,-79.4138102
Willowdale West,541247,43.7698142,-79.4138102
Willowridge-Martingrove-Richview,511637,43.7698142,-79.4138102
Woburn,316584,43.7598243,-79.2252908
Woodbine Corridor,521549,43.7598243,-79.2252908
Woodbine-Lumsden,440700,43.7598243,-79.2252908
Wychwood,656868,43.6820944,-79.4238554
Yonge-Eglinton,975449,43.7067479,-79.3983271
Yonge-St.Clair,995616,43.6882104,-79.3940036
York University Heights,359372,43.7737602,-79.506041416918
Yorkdale-Glen Park,421045,43.7104338,-79.4533397364436
